Decision Tree,,,,
,,,,
User, Accuracy, F-Score, Precision, Recall
0,0.859873,0.823217894,0.826927932,0.823611498
1,0.943089,0.936342201,0.939116657,0.938447972
2,0.806452,0.813041698,0.833421102,0.806729073
3,0.649351,0.630835498,0.644935312,0.635185185
4,0.873418,0.869826811,0.89018759,0.869753086
5,0.772152,0.77867636,0.792255892,0.774250441
6,0.723684,0.724190057,0.749559083,0.719135802
7,0.875,0.873812254,0.883193042,0.875
8,0.84,0.806838856,0.817171717,0.808112875
9,0.835443,0.836744639,0.846031746,0.836419753
10,0.884615,0.882859382,0.887037037,0.884259259
11,0.7875,0.788869493,0.825617284,0.783950617
12,0.683544,0.681204373,0.693887286,0.688271605
13,0.6625,0.648915726,0.648180215,0.665123457
14,0.792208,0.774074347,0.797510823,0.774691358
15,0.7125,0.716512823,0.727709636,0.711419753
16,0.7625,0.766468347,0.78681997,0.763888889
17,0.7375,0.730640326,0.743771044,0.736111111
18,0.636364,0.631787803,0.651322751,0.62654321
19,0.717949,0.719440647,0.751089651,0.716710758
20,0.75,0.750292249,0.789912865,0.74691358
21,0.8625,0.86280052,0.868077601,0.862654321
22,0.85,0.854564676,0.87962963,0.850308642
23,0.746835,0.7445056,0.748633157,0.74691358
24,0.753247,0.74926489,0.759852493,0.74537037
25,0.75,0.757615109,0.775810301,0.75154321
26,0.7875,0.784959062,0.822991823,0.788580247
27,0.662338,0.642982813,0.644472503,0.649470899
28,0.65,0.654210144,0.663391855,0.651234568
29,0.7375,0.735842999,0.759293176,0.737654321
30,0.75,0.740519575,0.750949668,0.75
31,0.9125,0.911202844,0.922222222,0.912037037
All,0.774001938,0.769470626,0.785030721,0.769696765
