Support Vector Machine: Linear Kernel,,,,
,,,,
User, Accuracy, F-Score, Precision, Recall
0,1,1,1,1
1,1,1,1,1
2,1,1,1,1
3,0.935065,0.928848215,0.946464646,0.932098765
4,0.987342,0.988304094,0.988888889,0.988888889
5,0.987342,0.987616099,0.988888889,0.987654321
6,0.986842,0.987616099,0.988888889,0.987654321
7,1,1,1,1
8,1,1,1,1
9,0.987342,0.986744639,0.988888889,0.986111111
10,1,1,1,1
11,0.95,0.95154321,0.957351291,0.950617284
12,0.987342,0.987616099,0.988888889,0.987654321
13,1,1,1,1
14,0.987013,0.983363042,0.987654321,0.981481481
15,0.9625,0.963471314,0.967452301,0.962962963
16,0.9625,0.960818713,0.968686869,0.962962963
17,0.9875,0.986928105,0.987654321,0.987654321
18,0.922078,0.919858564,0.921031746,0.924382716
19,1,1,1,1
20,1,1,1,1
21,0.9875,0.987616099,0.988888889,0.987654321
22,0.9625,0.960818713,0.968686869,0.962962963
23,0.974684,0.973489279,0.977777778,0.972222222
24,0.948052,0.943496541,0.94691358,0.942901235
25,0.9375,0.935796736,0.938447972,0.938271605
26,0.9875,0.987616099,0.988888889,0.987654321
27,0.935065,0.933834586,0.935978836,0.933201058
28,0.9375,0.938639491,0.944444444,0.938271605
29,1,1,1,1
30,0.9625,0.962616099,0.968686869,0.962962963
31,0.975,0.975,0.97979798,0.975308642
All,0.976583344,0.97598912,0.978726626,0.97629795
